"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Angel of Vitality","fdn","Near Mint","English","foil","","2025-10-19 21:44:49.157000","706","False","False",""
"1","1","Angelic Destiny","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","565","False","False",""
"1","1","Angelic Edict","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","490","False","False",""
"1","1","Ankle Biter","otj","Near Mint","English","","","2025-10-15 16:24:42.830000","153","False","False",""
"1","1","Anoint with Affliction","one","Near Mint","English","","","2025-11-07 19:30:57.957000","81","False","False",""
"4","4","Anthem of Champions","fdn","Near Mint","English","","","2025-11-06 20:52:27.330000","116","False","False",""
"2","2","Anthropede","dsk","Near Mint","English","","","2025-10-30 23:58:01.377000","167","False","False",""
"1","1","Anthropede","dsk","Near Mint","English","foil","","2025-10-31 00:04:33.040000","167","False","False",""
"6","6","Apothecary Stomper","fdn","Near Mint","English","","","2025-11-07 20:32:30.787000","99","False","False",""
"1","1","Apothecary Stomper","fdn","Near Mint","English","foil","","2025-11-06 20:19:34.900000","99","False","False",""
"2","2","Appendage Amalgam","dsk","Near Mint","English","","","2025-10-31 00:00:06.537000","83","False","False",""
"1","1","Arashin Sunshield","tdm","Near Mint","English","","","2025-11-07 19:43:07.413000","3","False","False",""
"2","2","Arbiter of Woe","fdn","Near Mint","English","","","2025-11-06 17:14:23.857000","55","False","False",""
"3","3","Arcane Epiphany","fdn","Near Mint","English","","","2025-11-07 19:51:41.927000","29","False","False",""
"2","2","Arcane Signet","fdc","Near Mint","English","foil","","2025-10-25 22:35:13.310000","1","False","False",""
"1","1","Arcanis the Omnipotent","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","585","False","False",""
"1","1","Archmage of Runes","fdn","Near Mint","English","","","2025-11-06 16:52:49.863000","30","False","False",""
"1","1","Archon's Glory","woe","Near Mint","English","","","2025-10-29 01:05:44.223000","2","False","False",""
"2","2","Archway Angel","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","566","False","False",""
"1","1","Armament Dragon","tdm","Near Mint","English","foil","","2025-10-15 19:44:32.073000","168","False","False",""
"4","4","Armasaur Guide","fdn","Near Mint","English","","","2025-11-06 17:22:23.653000","3","False","False",""
"1","1","Army of the Damned","mic","Near Mint","English","","","2025-10-30 21:04:40.980000","106","False","False",""
"1","1","Ashiok's Reaper","woe","Near Mint","English","","","2025-10-29 01:13:34.523000","79","False","False",""
"1","1","Aspirant's Ascent","one","Near Mint","English","foil","","2025-10-15 19:44:11.823000","40","False","False",""
"1","1","Aspirant's Ascent","one","Near Mint","English","","","2025-11-07 19:36:50.460000","40","False","False",""
"2","2","Attack-in-the-Box","dsk","Near Mint","English","","","2025-10-31 00:01:05.877000","242","False","False",""
"1","1","Attuned Hunter","tdm","Near Mint","English","","","2025-10-15 19:16:15.953000","135","False","False",""
"1","1","Aurelia, the Warleader","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","651","False","False",""
"4","4","Authority of the Consuls","fdn","Near Mint","English","","","2025-11-07 19:44:53.863000","137","False","False",""
"1","1","Awaken the Sleeper","one","Near Mint","English","","","2025-10-15 19:25:37.873000","119","False","False",""
"1","1","Axgard Cavalry","fdn","Near Mint","English","foil","","2025-11-06 20:07:51.047000","189","False","False",""
"3","3","Axgard Cavalry","fdn","Near Mint","English","","","2025-11-06 20:08:08.130000","189","False","False",""
"1","1","Ayara, First of Locthwain","eld","Near Mint","English","","","2025-10-30 21:05:53.673000","75","False","False",""
"1","1","Ayli, Eternal Pilgrim","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","652","False","False",""
"1","1","Azorius Guildgate","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","683","False","False",""
"1","1","Back for More","otp","Near Mint","English","","","2025-10-31 02:58:57.413000","36","False","False",""
"2","2","Bake into a Pie","fdn","Near Mint","English","foil","","2025-11-06 17:05:44.753000","169","False","False",""
"4","4","Bake into a Pie","fdn","Near Mint","English","","","2025-11-06 17:05:54.937000","169","False","False",""
"3","3","Balemurk Leech","dsk","Near Mint","English","","","2025-10-31 00:05:27.017000","84","False","False",""
"1","1","Ball Lightning","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","618","False","False",""
"2","2","Ballyrush Banneret","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","567","False","False",""
"1","1","Balustrade Wurm","dsk","Near Mint","English","","","2025-10-25 22:00:47.510000","168","False","False",""
"1","1","Banishing Light","blb","Near Mint","English","","","2025-10-29 01:01:12.620000","1","False","False",""
"6","6","Banishing Light","fdn","Near Mint","English","","","2025-11-06 17:21:21.423000","138","False","False",""
"1","1","Banner of Kinship","fdn","Near Mint","English","","","2025-10-19 18:25:07.793000","127","False","False",""
"1","1","Barrow Naughty","woe","Near Mint","English","","","2025-10-30 23:45:50.503000","81","False","False",""
"1","1","Baseball Bat","dsk","Near Mint","English","","","2025-10-31 00:06:01.497000","209","False","False",""
"1","1","Bashful Beastie","dsk","Near Mint","English","","","2025-10-25 22:00:04.543000","169","False","False",""
"1","1","Basilisk Collar","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","669","False","False",""
"1","1","Battle-Rattle Shaman","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","533","False","False",""
"3","3","Battlesong Berserker","fdn","Near Mint","English","","","2025-11-07 20:33:03.837000","78","False","False",""
"1","1","Bear Cub","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","552","False","False",""
"2","2","Bear Trap","dsk","Near Mint","English","","","2025-10-25 21:54:19.217000","243","False","False",""
"1","1","Beastie Beatdown","dsk","Near Mint","English","foil","","2025-10-25 22:17:30.717000","210","False","False",""
"2","2","Beastie Beatdown","dsk","Near Mint","English","","","2025-10-25 22:21:10.057000","210","False","False",""
"2","2","Beast-Kin Ranger","fdn","Near Mint","English","foil","","2025-11-07 19:46:46.003000","100","False","False",""
"4","4","Beast-Kin Ranger","fdn","Near Mint","English","","","2025-11-06 20:18:30.627000","100","False","False",""
"1","1","Become Brutes","woe","Near Mint","English","foil","","2025-10-29 01:10:54.517000","317","False","False",""
"1","1","Bedhead Beastie","dsk","Near Mint","English","foil","","2025-10-19 18:27:53.873000","125","False","False",""
"2","2","Bedhead Beastie","dsk","Near Mint","English","","","2025-10-31 00:05:44.490000","125","False","False",""
"1","1","Behind the Mask","mkm","Near Mint","English","","","2025-10-25 22:13:42.447000","39","False","False",""
"1","1","Bellowing Crier","blb","Near Mint","English","","","2025-10-29 00:57:10.473000","42","False","False",""
"1","1","Benthic Criminologists","mkm","Near Mint","English","","","2025-10-25 22:14:03.740000","40","False","False",""
"1","1","Beseech the Mirror","woe","Near Mint","English","","","2025-10-29 01:14:17.003000","82","False","False",""
"1","1","Bespoke Battlegarb","woe","Near Mint","English","","","2025-10-29 01:09:06.197000","122","False","False",""
"1","1","Bestial Bloodline","woe","Near Mint","English","","","2025-10-29 01:00:06.930000","162","False","False",""
"4","4","Bigfin Bouncer","fdn","Near Mint","English","","","2025-11-06 16:54:26.853000","31","False","False",""
"1","1","Billowing Shriekmass","fdn","Near Mint","English","","","2025-11-06 17:12:30.560000","56","False","False",""
"1","1","Biogenic Upgrade","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","553","False","False",""
"1","1","Bishop's Soldier","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","491","False","False",""
"6","6","Bite Down","fdn","Near Mint","English","","","2025-11-06 20:23:11.427000","212","False","False",""
"1","1","Bite Down on Crime","mkm","Near Mint","English","","","2025-10-25 21:58:33.413000","154","False","False",""
"1","1","Bladehold War-Whip","one","Near Mint","English","foil","","2025-10-15 19:44:02.790000","197","False","False",""
"1","1","Bladehold War-Whip","one","Near Mint","English","","","2025-10-15 19:33:38.697000","197","False","False",""
"2","2","Blanchwood Armor","fdn","Near Mint","English","","","2025-11-06 20:26:38.353000","213","False","False",""
"2","2","Blasphemous Edict","fdn","Near Mint","English","","","2025-11-06 20:52:51.327000","57","False","False",""
"1","1","Bleeding Woods","dsk","Near Mint","English","foil","","2025-10-31 00:01:25.900000","257","False","False",""
"2","2","Bleeding Woods","dsk","Near Mint","English","","","2025-10-30 23:54:03.233000","257","False","False",""
"1","1","Blightbelly Rat","one","Near Mint","English","foil","","2025-10-31 03:02:45.060000","289","False","False",""
"1","1","Blightbelly Rat","one","Near Mint","English","","","2025-10-15 19:25:00.137000","85","False","False",""
"1","1","Blood Bairn","m14","Near Mint","English","","","2025-11-09 03:01:47.747000","87","False","False",""
"2","2","Bloodfell Caves","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","259","False","False",""
"1","1","Bloodfell Caves","tdm","Near Mint","English","","","2025-11-07 19:56:41.123000","250","False","False",""
"1","1","Bloodsoaked Champion","ktk","Near Mint","English","","","2025-10-31 03:07:52.953000","66","False","False",""
"1","1","Bloodthrone Vampire","mm2","Near Mint","English","","","2025-11-09 03:01:00.453000","72","False","False",""
"1","1","Bloodtithe Collector","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","516","False","False",""
"1","1","Blooming Blast","blb","Near Mint","English","","","2025-10-29 01:07:25.087000","126","False","False",""
"2","2","Blossoming Sands","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","260","False","False",""
"1","1","Boilerbilges Ripper","dsk","Near Mint","English","","","2025-10-30 23:56:56.823000","127","False","False",""
"1","1","Bolrac-Clan Basher","mkm","Near Mint","English","","","2025-10-25 22:02:06.400000","112","False","False",""
"2","2","Bolt Bend","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","619","False","False",""
"2","2","Boltwave","fdn","Near Mint","English","","","2025-11-06 20:16:23.640000","79","False","False",""
"2","2","Bonepicker Skirge","one","Near Mint","English","","","2025-11-07 19:34:51.453000","290","False","False",""
"1","1","Boros Charm","fdn","Near Mint","English","foil","","2025-10-19 21:44:49.157000","721","False","False",""
"1","1","Boros Guildgate","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","684","False","False",""
"1","1","Bottomless Pool // Locker Room","dsk","Near Mint","English","foil","","2025-10-15 16:15:34.937000","43","False","False",""
"1","1","Boundary Lands Ranger","woe","Near Mint","English","","","2025-10-29 01:09:52.787000","123","False","False",""
"1","1","Branchblight Stalker","one","Near Mint","English","","","2025-11-07 19:34:16.437000","160","False","False",""
"1","1","Brass's Bounty","fdn","Near Mint","English","","","2025-11-06 20:15:22.887000","190","False","False",""
"2","2","Brazen Scourge","fdn","Near Mint","English","","","2025-11-06 20:15:51.763000","191","False","False",""
"1","1","Break Down the Door","dsk","Near Mint","English","foil","","2025-10-31 00:06:19.583000","170","False","False",""
"1","1","Brightfield Mustang","dft","Near Mint","English","","","2025-11-07 20:36:19.313000","5","False","False",""
"1","1","Brimstone Roundup","otj","Near Mint","English","","","2025-10-15 16:21:12.493000","115","False","False",""
"1","1","Brineborn Cutthroat","fdn","Near Mint","English","foil","","2025-11-06 16:54:57.300000","152","False","False",""
"5","5","Brineborn Cutthroat","fdn","Near Mint","English","","","2025-11-06 16:55:09.893000","152","False","False",""
"1","1","Broken Wings","fdn","Near Mint","English","foil","","2025-11-06 20:22:48.597000","214","False","False",""
"6","6","Broken Wings","fdn","Near Mint","English","","","2025-11-06 20:22:57.797000","214","False","False",""
"1","1","Broodspinner","dsk","Near Mint","English","","","2025-10-30 23:58:37.053000","211","False","False",""
"2","2","Bulk Up","fdn","Near Mint","English","","","2025-11-06 20:09:45.173000","80","False","False",""
"6","6","Burglar Rat","fdn","Near Mint","English","","","2025-11-07 20:32:16.457000","170","False","False",""
"1","1","Burnished Hart","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","250","False","False",""
"1","1","Burrog Befuddler","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","504","False","False",""
"9","9","Burst Lightning","fdn","Near Mint","English","","","2025-11-06 20:12:38.010000","192","False","False",""
"6","6","Bushwhack","fdn","Near Mint","English","","","2025-11-06 20:24:51.407000","215","False","False",""
"1","1","Cache Grab","blb","Near Mint","English","","","2025-10-29 00:59:37.580000","167","False","False",""
"1","1","Cackling Prowler","fdn","Near Mint","English","foil","","2025-11-06 20:24:09.953000","101","False","False",""
"5","5","Cackling Prowler","fdn","Near Mint","English","","","2025-11-07 19:49:00.443000","101","False","False",""
"1","1","Cackling Slasher","dsk","Near Mint","English","","","2025-10-31 00:00:24.617000","85","False","False",""
"1","1","Cacophony Scamp","one","Near Mint","English","","","2025-11-07 19:38:00.510000","124","False","False",""
"1","1","Cactarantula","otj","Near Mint","English","","","2025-10-15 16:24:21.630000","158","False","False",""
"1","1","Calamitous Tide","blb","Near Mint","English","","","2025-10-29 00:55:37.053000","43","False","False",""
"1","1","Cancel","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","505","False","False",""
"1","1","Cankerbloom","one","Near Mint","English","","","2025-10-15 19:36:27.070000","161","False","False",""
"1","1","Caretaker's Talent","blb","Near Mint","English","","","2025-10-29 01:02:27.967000","6","False","False",""
"1","1","Carnelian Orb of Dragonkind","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","534","False","False",""
"1","1","Carnivorous Canopy","one","Near Mint","English","","","2025-10-15 19:38:27.473000","162","False","False",""
"1","1","Carrion Feeder","mh1","Near Mint","English","","","2025-10-30 22:35:33.747000","81","False","False",""
"1","1","Carrot Cake","blb","Near Mint","English","","","2025-10-29 01:02:01.090000","7","False","False",""
"2","2","Cat Collector","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","4","False","False",""
"4","4","Cathar Commando","fdn","Near Mint","English","","","2025-11-07 19:52:39.490000","139","False","False",""
"1","1","Cauldron Familiar","eld","Near Mint","English","","","2025-10-29 01:15:15.867000","81","False","False",""
"3","3","Cautious Survivor","dsk","Near Mint","English","","","2025-10-30 23:59:21.110000","172","False","False",""
"1","1","Cemetery Recruitment","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","517","False","False",""
"1","1","Central Elevator // Promising Stairs","dsk","Near Mint","English","","","2025-10-15 14:55:35.800000","44","False","False",""
"1","1","Cephalid Inkmage","fdn","Near Mint","English","","","2025-11-06 17:00:14.487000","32","False","False",""
"1","1","Chalk Outline","mkm","Near Mint","English","","","2025-10-25 21:58:25.600000","157","False","False",""
"2","2","Champion of Dusan","tdm","Near Mint","English","","","2025-10-15 19:21:26.953000","137","False","False",""
"2","2","Chandra, Flameshaper","fdn","Near Mint","English","","","2025-11-06 20:53:17.820000","81","False","False",""
"1","1","Charforger","one","Near Mint","English","","","2025-11-07 19:37:31.583000","199","False","False",""
"1","1","Charge of the Mites","one","Near Mint","English","","","2025-10-15 19:38:13.457000","6","False","False",""
"1","1","Charming Prince","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","568","False","False",""
"2","2","Chart a Course","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","586","False","False",""
"1","1","Child of Night","m14","Near Mint","English","","","2025-11-09 03:01:36.460000","89","False","False",""
"1","1","Churning Reservoir","one","Near Mint","English","","","2025-11-07 19:35:00.663000","127","False","False",""
"4","4","Circuitous Route","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","635","False","False",""
"2","2","Clammy Prowler","dsk","Near Mint","English","","","2025-10-30 23:55:56.143000","45","False","False",""
"1","1","Claws Out","fdn","Near Mint","English","foil","","2025-11-06 17:15:50.660000","6","False","False",""
"2","2","Claws Out","fdn","Near Mint","English","","","2025-11-07 19:49:06.873000","6","False","False",""
"1","1","Clifftop Lookout","blb","Near Mint","English","","","2025-10-29 00:58:02.623000","168","False","False",""
"3","3","Clinquant Skymage","fdn","Near Mint","English","","","2025-11-06 17:02:19.273000","33","False","False",""
"3","3","Clockwork Percussionist","dsk","Near Mint","English","","","2025-10-30 23:55:48.023000","130","False","False",""
"2","2","Cloudblazer","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","653","False","False",""
"1","1","Coerced to Kill","mkm","Near Mint","English","","","2025-10-25 22:20:07.080000","192","False","False",""
"1","1","Collector's Vault","woe","Near Mint","English","","","2025-10-30 23:48:11.190000","244","False","False",""
"1","1","Colossal Rattlewurm","otj","Near Mint","English","","","2025-10-15 16:24:34.243000","159","False","False",""
"1","1","Come Back Wrong","dsk","Near Mint","English","","","2025-10-15 16:15:56.480000","86","False","False",""
"2","2","Command Tower","fdc","Near Mint","English","foil","","2025-10-25 22:35:28.103000","3","False","False",""
"1","1","Commercial District","mkm","Near Mint","English","","","2025-10-25 22:23:35.793000","259","False","False",""
"1","1","Compleat Devotion","one","Near Mint","English","","","2025-10-15 19:29:30.307000","7","False","False",""
"1","1","Concealed Weapon","mkm","Near Mint","English","","","2025-10-25 22:03:23.057000","117","False","False",""
"1","1","Conceited Witch // Price of Beauty","woe","Near Mint","English","","","2025-10-30 23:47:47.170000","84","False","False",""
"1","1","Conduct Electricity","blb","Near Mint","English","","","2025-10-29 01:08:09.330000","130","False","False",""
"1","1","Conductive Machete","dsk","Near Mint","English","","","2025-10-25 21:55:19.270000","244","False","False",""
"1","1","Conduit of Worlds","tdc","Near Mint","English","","","2025-11-07 19:34:37.847000","251","False","False",""
"1","1","Conduit Pylons","otj","Near Mint","English","","","2025-10-15 16:26:55.387000","254","False","False",""
"1","1","Confiscate","fdn","Near Mint","English","foil","","2025-10-19 21:44:49.157000","709","False","False",""
"1","1","Consulate Crackdown","aer","Near Mint","English","","","2025-10-31 03:11:43.713000","11","False","False",""
"1","1","Consumed by Greed","blb","Near Mint","English","","","2025-10-29 01:12:01.657000","87","False","False",""
"1","1","Consuming Aberration","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","238","False","False",""
"1","1","Contagious Vorrac","one","Near Mint","English","","","2025-11-07 19:31:27.847000","164","False","False",""
"1","1","Coordinated Clobbering","dsk","Near Mint","English","","","2025-10-30 23:58:10.157000","173","False","False",""
"1","1","Cornered Crook","mkm","Near Mint","English","","","2025-10-25 22:01:50.030000","120","False","False",""
"1","1","Corpseberry Cultivator","blb","Near Mint","English","","","2025-10-29 01:17:44.483000","210","False","False",""
"1","1","Corsair Captain","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","506","False","False",""
"3","3","Courageous Goblin","fdn","Near Mint","English","","","2025-11-06 20:12:12.437000","82","False","False",""
"1","1","Court of Ardenvale","woc","Near Mint","English","","","2025-10-29 01:06:08.133000","21","False","False",""
"1","1","Crackling Cyclops","fdn","Near Mint","English","foil","","2025-11-06 20:11:14.370000","83","False","False",""
"7","7","Crackling Cyclops","fdn","Near Mint","English","","","2025-11-06 20:11:36.257000","83","False","False",""
"2","2","Crash Through","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","620","False","False",""
"1","1","Craterhoof Behemoth","tdm","Near Mint","English","","","2025-10-15 19:44:26.093000","138","False","False",""
"1","1","Crawling Barrens","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","685","False","False",""
"1","1","Crawling Chorus","one","Near Mint","English","","","2025-10-15 19:37:57.750000","8","False","False",""
"3","3","Creeping Peeper","dsk","Near Mint","English","","","2025-10-30 23:57:19.220000","46","False","False",""
"1","1","Crimestopper Sprite","mkm","Near Mint","English","","","2025-10-25 22:14:22.460000","49","False","False",""
"1","1","Crossway Troublemakers","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","518","False","False",""
"1","1","Crow of Dark Tidings","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","519","False","False",""
"1","1","Crowd-Control Warden","mkm","Near Mint","English","foil","","2025-10-25 22:18:00.013000","193","False","False",""
"1","1","Cruel Grimnarch","one","Near Mint","English","","","2025-10-15 19:26:48.220000","88","False","False",""
"2","2","Cruel Truths","tdm","Near Mint","English","","","2025-10-15 19:14:52.243000","76","False","False",""
"2","2","Crumb and Get It","blb","Near Mint","English","","","2025-10-29 01:01:34.350000","8","False","False",""
"2","2","Crusader of Odric","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","569","False","False",""
"1","1","Crypt Feaster","fdn","Near Mint","English","foil","","2025-11-06 17:08:22.100000","59","False","False",""
"5","5","Crypt Feaster","fdn","Near Mint","English","","","2025-11-07 19:48:03.530000","59","False","False",""
"1","1","Cryptic Caves","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","686","False","False",""
"2","2","Cryptid Inspector","dsk","Near Mint","English","","","2025-10-30 23:57:11.720000","174","False","False",""
"1","1","Cult Healer","dsk","Near Mint","English","","","2025-10-19 18:32:36.360000","2","False","False",""
"1","1","Cultivator's Caravan","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","670","False","False",""
"1","1","Cursed Courtier","woe","Near Mint","English","","","2025-10-29 01:04:14.333000","9","False","False",""
"1","1","Cursed Windbreaker","dsk","Near Mint","English","","","2025-10-30 23:56:20.667000","47","False","False",""
"1","1","Cut In","woe","Near Mint","English","","","2025-10-30 23:46:54.320000","125","False","False",""
"1","1","Cutthroat Centurion","one","Near Mint","English","foil","","2025-10-31 03:02:32.250000","89","False","False",""
"1","1","Cynical Loner","dsk","Near Mint","English","","","2025-10-15 14:50:12.687000","89","False","False",""
"2","2","Daggermaw Megalodon","dsk","Near Mint","English","","","2025-10-30 23:59:29.143000","48","False","False",""
"1","1","Dalkovan Encampment","tdm","Near Mint","English","","","2025-11-07 19:56:28.730000","253","False","False",""
"1","1","Damnation","spg","Near Mint","English","","","2025-10-30 23:52:17.730000","68","False","False",""
"1","1","Dance of the Tumbleweeds","otj","Near Mint","English","","","2025-10-15 16:25:13.487000","160","False","False",""
"1","1","Dark Tutelage","wot","Near Mint","English","foil","","2025-10-31 03:18:58.087000","28","False","False",""
"1","1","Dark Tutelage","wot","Near Mint","English","","","2025-10-31 03:19:08.710000","28","False","False",""
"1","1","Darksteel Colossus","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","671","False","False",""
"1","1","Dauntless Veteran","fdn","Near Mint","English","","","2025-11-06 17:24:16.080000","8","False","False",""
"2","2","Dawnwing Marshal","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","570","False","False",""
"3","3","Daxos, Blessed by the Sun","thb","Near Mint","English","","","2025-11-06 20:55:15.203000","9","False","False",""
"1","1","Daxos, Blessed by the Sun","mul","Near Mint","English","","","2025-11-06 20:55:39.967000","2","False","False",""
"1","1","Day of Judgment","fdn","Near Mint","English","","","2025-11-06 20:53:36.510000","140","False","False",""
"5","5","Dazzling Angel","fdn","Near Mint","English","","","2025-11-07 20:31:51.637000","9","False","False",""
"2","2","Deadly Brew","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","654","False","False",""
"1","1","Deadly Plot","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","520","False","False",""
"1","1","Deadly Riposte","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","492","False","False",""
"1","1","Death Baron","fdn","Near Mint","English","","","2025-10-15 02:00:19.020000","521","False","False",""
"1","1","Deathcap Cultivator","soi","Near Mint","English","","","2025-10-31 03:08:29.820000","202","False","False",""
"1","1","Deathlace","4ed","Near Mint","English","","","2025-10-31 03:07:34.360000","131","False","False",""
"2","2","Deathmark","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","601","False","False",""
"1","1","Deduce","mkm","Near Mint","English","","","2025-10-25 22:13:34.307000","293","False","False",""
"1","1","Defenestrated Phantom","mkm","Near Mint","English","","","2025-10-25 22:12:17.697000","11","False","False",""
"1","1","Defiant Survivor","dsk","Near Mint","English","","","2025-10-25 22:00:26.237000","175","False","False",""
"1","1","Delta Bloodflies","tdm","Near Mint","English","","","2025-11-07 19:40:53.660000","77","False","False",""
"1","1","Demolition Field","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","687","False","False",""
"1","1","Demonic Pact","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","602","False","False",""
"4","4","Derelict Attic // Widow's Walk","dsk","Near Mint","English","","","2025-10-30 23:55:32.963000","93","False","False",""
"1","1","Desecration Demon","fdn","Near Mint","English","","","2025-10-19 21:44:49.157000","603","False","False",""
"1","1","Desert's Due","otj","Near Mint","English","","","2025-10-15 16:18:59.453000","85","False","False",""
"1","1","Detective's Satchel","mkm","Near Mint","English","","","2025-10-25 22:19:12.750000","196","False","False",""
